id_key,transmitter_no,vessel_name,latitude,longitude,reportdate,speed,heading,gross_tonnage,length,width,registered_gear_type,begin_date,end_date,registered_fishing_region,status,locale,vbd_id_key,vbd_dist,vbd_dtime,segment,velocity,heading_change,distance,time_elapsed,geom
VMS_74067_20140116134600_m5p981_99p761,74067,74067,-5.981,99.761,2014-01-16 13:46:00,0,317,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E610000062105839B4F05840068195438BEC17C0
VMS_74067_20140116135500_m5p981_99p76,74067,74067,-5.981,99.76,2014-01-16 13:55:00,0,305,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000713D0AD7A3F05840068195438BEC17C0
VMS_74067_20140116140000_m5p981_99p759,74067,74067,-5.981,99.759,2014-01-16 14:00:00,0,257,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E61000007F6ABC7493F05840068195438BEC17C0
VMS_74067_20140116144200_m5p981_99p76,74067,74067,-5.981,99.76,2014-01-16 14:42:00,0,155,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000713D0AD7A3F05840068195438BEC17C0
VMS_74067_20140116145300_m5p981_99p759,74067,74067,-5.981,99.759,2014-01-16 14:53:00,0,271,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E61000007F6ABC7493F05840068195438BEC17C0
VMS_74067_20140116150000_m5p981_99p759,74067,74067,-5.981,99.759,2014-01-16 15:00:00,0,298,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E61000007F6ABC7493F05840068195438BEC17C0
VMS_74067_20140116152400_m5p98_99p759,74067,74067,-5.98,99.759,2014-01-16 15:24:00,0,196,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E61000007F6ABC7493F05840EC51B81E85EB17C0
VMS_74067_20140116153100_m5p98_99p759,74067,74067,-5.98,99.759,2014-01-16 15:31:00,0,345,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E61000007F6ABC7493F05840EC51B81E85EB17C0
VMS_74067_20140116160000_m5p98_99p759,74067,74067,-5.98,99.759,2014-01-16 16:00:00,0,304,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E61000007F6ABC7493F05840EC51B81E85EB17C0
VMS_74067_20140116163200_m5p979_99p761,74067,74067,-5.979,99.761,2014-01-16 16:32:00,0,92,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E610000062105839B4F05840D122DBF97EEA17C0
