id_Key,TRANSMITTER_NO,VESSEL_NAME,LATITUDE,LONGITUDE,REPORTDATE,SPEED,HEADING,GROSS_TONNAGE,LENGTH,WIDTH,REGISTERED_GEAR_TYPE,BEGIN_DATE,END_DATE,REGISTERED_FISHING_REGION
VMS_4949257_20140107074400_m8p3225_67p1003,4949257,4949257,-8.3225,67.1003,20140107074400,65,85,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140107084400_m8p3192_67p21,4949257,4949257,-8.3192,67.21,20140107084400,65,85,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140107104400_m8p3161_67p4289,4949257,4949257,-8.3161,67.4289,20140107104400,65,90,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140107114400_m8p3194_67p535,4949257,4949257,-8.3194,67.535,20140107114400,65,90,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140107124400_m8p3217_67p6411,4949257,4949257,-8.3217,67.6411,20140107124400,59,100,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140107134400_m8p3439_67p6214,4949257,4949257,-8.3439,67.6214,20140107134400,70,245,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140107144400_m8p3853_67p5114,4949257,4949257,-8.3853,67.5114,20140107144400,70,245,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140107154400_m8p4325_67p4119,4949257,4949257,-8.4325,67.4119,20140107154400,70,240,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140107164400_m8p4792_67p3106,4949257,4949257,-8.4792,67.3106,20140107164400,70,255,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140107174400_m8p5078_67p2031,4949257,4949257,-8.5078,67.2031,20140107174400,65,260,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140107184400_m8p525_67p1619,4949257,4949257,-8.525,67.1619,20140107184400,22,260,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140107194400_m8p5606_67p1133,4949257,4949257,-8.5606,67.1133,20140107194400,43,210,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140107204400_m8p6036_67p0786,4949257,4949257,-8.6036,67.0786,20140107204400,38,275,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
